filename,x_label,y_value
cropped_page_3.png,2023.01,9.71M
cropped_page_3.png,2023.04,9.71M
cropped_page_3.png,2023.07,9.71M
cropped_page_3.png,2023.10,9.71M
cropped_page_3.png,2024.01,9.71M
cropped_page_3.png,2024.04,9.71M
cropped_page_3.png,2024.07,9.71M
cropped_page_3.png,2024.10,9.71M
cropped_page_3.png,2025.01,9.71M
cropped_page_3.png,2025.04,9.71M
cropped_page_3.png,2025.07,9.71M
cropped_page_3.png,2025.10,9.71M
cropped_page_4.png,2022.10,6.53M
cropped_page_4.png,2023.01,6.53M
cropped_page_4.png,2023.04,6.53M
cropped_page_4.png,2023.07,6.53M
cropped_page_4.png,2023.10,6.53M
cropped_page_4.png,2024.01,6.53M
cropped_page_4.png,2024.04,6.53M
cropped_page_4.png,2024.07,6.37M
cropped_page_4.png,2024.10,6.36M
cropped_page_4.png,2025.01,6.37M
cropped_page_4.png,2025.04,6.36M
cropped_page_4.png,2025.07,6.37M
cropped_page_4.png,2025.10,6.36M
cropped_page_5.png,2020.01,5.83M
cropped_page_5.png,2020.04,5.83M
cropped_page_5.png,2020.07,5.83M
cropped_page_5.png,2020.10,5.83M
cropped_page_5.png,2021.01,5.83M
cropped_page_5.png,2021.04,5.83M
cropped_page_5.png,2021.07,5.75M
cropped_page_5.png,2021.10,5.75M
cropped_page_5.png,2021.13,5.75M
cropped_page_5.png,2022.01,5.75M
cropped_page_5.png,2022.04,5.75M
cropped_page_5.png,2022.07,5.75M
cropped_page_5.png,2023.01,5.75M
cropped_page_5.png,2023.04,5.75M
cropped_page_5.png,2023.07,5.75M
cropped_page_5.png,2023.10,5.75M
cropped_page_5.png,2024.01,5.75M
cropped_page_5.png,2024.04,5.75M
cropped_page_5.png,2024.07,5.51M
cropped_page_5.png,2024.10,5.51M
cropped_page_5.png,2025.01,5.51M
cropped_page_5.png,2025.04,5.51M
cropped_page_5.png,2025.07,5.51M
cropped_page_6.png,2007.07,4.55M
cropped_page_6.png,2007.10,4.55M
cropped_page_6.png,2008.01,4.55M
cropped_page_6.png,2008.04,4.55M
cropped_page_6.png,2008.07,4.55M
cropped_page_6.png,2008.10,4.55M
cropped_page_6.png,2009.01,4.55M
cropped_page_6.png,2009.04,4.55M
cropped_page_6.png,2009.07,4.55M
cropped_page_6.png,2009.10,4.55M
cropped_page_6.png,2010.01,4.55M
cropped_page_6.png,2010.04,4.55M
cropped_page_6.png,2010.07,4.55M
cropped_page_6.png,2010.10,4.55M
cropped_page_6.png,2011.01,4.55M
cropped_page_6.png,2011.04,4.55M
cropped_page_6.png,2011.07,4.55M
cropped_page_6.png,2011.10,4.55M
cropped_page_6.png,2012.01,4.55M
cropped_page_6.png,2012.04,4.55M
cropped_page_6.png,2012.07,4.55M
cropped_page_6.png,2012.10,4.55M
cropped_page_6.png,2013.01,4.55M
cropped_page_6.png,2013.04,4.55M
cropped_page_6.png,2013.07,4.55M
